unique_id,start_tick,end_tick,thrower_steamid,thrower_name
8832138520163045900,11827,13115,76561198398225818,Skoger
7577191271187600641,13807,15095,76561197980850558,KKKONG--
4134822549965336938,15804,17092,76561198004292307,MrDorsi
745152040506874657,15982,17270,76561197981134839,Keisar1
1792771463847147070,21010,22298,76561198398225818,Skoger
2472643288412247248,21694,22975,76561198004277049,ODSMO
1552621895913976307,22426,23707,76561197985108819,GAMPLAAJA
4304927815146789276,23657,24938,76561198013827407,Pipsa_Possu
7690556711029361040,23813,25101,76561197980850558,KKKONG--
2168844357118075110,24678,25959,76561197992646865,Lyomis
7066833142752390193,29319,30607,76561198398225818,Skoger
8407148065198100276,30167,31455,76561198004292307,MrDorsi
1784044310290152402,30306,31587,76561197984235105,PieniPippeli
9139082900517769923,30354,31635,76561198013827407,Pipsa_Possu
6350492001185332548,31990,32964,76561197992646865,Lyomis
1647406762861420466,34810,36091,76561198013827407,Pipsa_Possu
103261295624342609,34903,36191,76561198398225818,Skoger
8742390319298203025,35984,37265,76561197985108819,GAMPLAAJA
5887110927088375285,36601,37882,76561198004277049,ODSMO
5549135320865415119,37350,37973,76561197992646865,Lyomis
6722614573844022731,37612,37973,76561198004292307,MrDorsi
3056602569347706361,39890,40955,76561197980401280,Fanaatti
2041483626378375743,39933,40955,76561198398225818,Skoger
7407861552790063810,39999,40955,76561198004292307,MrDorsi
6948178770046085830,42713,43994,76561197984235105,PieniPippeli
1358192697316535062,43616,44904,76561197980850558,KKKONG--
2148217476691917675,45338,46626,76561197980401280,Fanaatti
1649423832762638072,46154,47442,76561197981134839,Keisar1
2945031986506757648,50744,52032,76561198398225818,Skoger
3980418984301308934,52002,53290,76561197981134839,Keisar1
4730908783267233161,52937,54225,76561197980850558,KKKONG--
8075838083571191813,55971,57252,76561197984235105,PieniPippeli
3904305322102690330,57027,58315,76561197980401280,Fanaatti
2693358397479890272,57106,58397,76561198013827407,Pipsa_Possu
3751533620669514004,59626,60914,76561198004292307,MrDorsi
5418282738353826374,59941,61222,76561198004277049,ODSMO
7328550082997225161,60281,61565,76561197992646865,Lyomis
2913822118739827455,63850,65131,76561198013827407,Pipsa_Possu
7244692062879809380,64341,65629,76561198398225818,Skoger
7020292523280581772,64580,65868,76561198004277049,ODSMO
8880818247088041919,66220,67501,76561197992646865,Lyomis
7827231237181407090,66870,68158,76561197980401280,Fanaatti
8781089889510340724,67001,68289,76561197980850558,KKKONG--
5560226947133990892,67517,68798,76561197985108819,GAMPLAAJA
4474595555925675172,68999,70287,76561197981134839,Keisar1
8269467625211275367,69652,70474,76561198004292307,MrDorsi
9079841263351541383,72328,73616,76561198398225818,Skoger
8068016675815883089,76370,77658,76561197984235105,PieniPippeli
1227149923280762060,80017,81298,76561198398225818,Skoger
4231044375342955322,81247,82528,76561197981134839,Keisar1
5353765953338322888,81588,82869,76561198013827407,Pipsa_Possu
2179279280629768889,81599,82880,76561197980401280,Fanaatti
8742070145950600300,84853,86134,76561198004292307,MrDorsi
5935051911167379186,86745,88033,76561197984235105,PieniPippeli
304119529673588964,87460,88741,76561198398225818,Skoger
8673357697888101244,87592,88873,76561197980401280,Fanaatti
7535483719023951111,88279,89560,76561197981134839,Keisar1
6740688647399611766,92141,93422,76561198004292307,MrDorsi
2445185710453374179,93353,94634,76561197981134839,Keisar1
6240663964634077099,97778,99059,76561197980850558,KKKONG--
3322378509398268708,97817,99098,76561197992646865,Lyomis
3197488777038953679,97856,99137,76561197981134839,Keisar1
4869383565707748923,98193,99481,76561198013827407,Pipsa_Possu
5198118823528512604,99104,100392,76561197984235105,PieniPippeli
